Book Name,predicted_age_category,confidence,llm_prediction,llm_confidence,ml_prediction,ml_confidence,probability_distribution,num_chunks_processed,vote_distribution
المواقف_والمخاطبات2,٢١+,0.9607,٢١+,0.9949,٢١+,0.9262,"{'٣-٨': 0.001, '٩-١٢': 0.0052, '١٣-١٨': 0.0023, '١٨-٢١': 0.0308, '٢١+': 0.9607}",785,"{'٢١+': 781, '١٨-٢١': 3, '٩-١٢': 1}"
النار_في_التحليل_النفسي1,٢١+,0.5192,٢١+,1.0,١٣-١٨,0.789,"{'٣-٨': 0.004, '٩-١٢': 0.0194, '١٣-١٨': 0.3945, '١٨-٢١': 0.0628, '٢١+': 0.5192}",87,{'٢١+': 87}
النار_في_التحليل_النفسي2,٢١+,0.5192,٢١+,1.0,١٣-١٨,0.789,"{'٣-٨': 0.004, '٩-١٢': 0.0194, '١٣-١٨': 0.3945, '١٨-٢١': 0.0628, '٢١+': 0.5192}",87,{'٢١+': 87}
النسناس فرناس,٣-٨,0.6068,٣-٨,0.5,٣-٨,0.9449,"{'٣-٨': 0.6068, '٩-١٢': 0.0145, '١٣-١٨': 0.0172, '١٨-٢١': 0.3546, '٢١+': 0.007}",2,"{'٣-٨': 1, '١٨-٢١': 1}"
امانويل كانط نقد العقل المحض,٢١+,0.981,٢١+,1.0,٢١+,0.9623,"{'٣-٨': 0.0004, '٩-١٢': 0.0069, '١٣-١٨': 0.0023, '١٨-٢١': 0.0094, '٢١+': 0.981}",432,{'٢١+': 432}
باروخ سبينوزا-علم الأخلاق,٢١+,0.9237,٢١+,0.9899,٢١+,0.8599,"{'٣-٨': 0.0026, '٩-١٢': 0.0274, '١٣-١٨': 0.0209, '١٨-٢١': 0.0254, '٢١+': 0.9237}",199,"{'٢١+': 197, '١٨-٢١': 1, '٩-١٢': 1}"
بداية ونهاية,١٨-٢١,0.9362,١٨-٢١,1.0,١٨-٢١,0.8726,"{'٣-٨': 0.0017, '٩-١٢': 0.0214, '١٣-١٨': 0.0197, '١٨-٢١': 0.9362, '٢١+': 0.0209}",197,{'١٨-٢١': 197}
بذرة التفاح,٩-١٢,0.5069,٩-١٢,1.0,٣-٨,0.9622,"{'٣-٨': 0.4814, '٩-١٢': 0.5069, '١٣-١٨': 0.0041, '١٨-٢١': 0.0058, '٢١+': 0.0017}",1,{'٩-١٢': 1}
بلا عائلة(ريمي),٩-١٢,0.8529,٩-١٢,1.0,٩-١٢,0.706,"{'٣-٨': 0.0025, '٩-١٢': 0.8529, '١٣-١٨': 0.0093, '١٨-٢١': 0.0924, '٢١+': 0.0429}",359,{'٩-١٢': 359}
بنك المعلومات,١٨-٢١,0.9291,١٨-٢١,1.0,١٨-٢١,0.8585,"{'٣-٨': 0.0028, '٩-١٢': 0.0253, '١٣-١٨': 0.0277, '١٨-٢١': 0.9291, '٢١+': 0.0151}",82,{'١٨-٢١': 82}
بين القصرين,١٨-٢١,0.925,١٨-٢١,1.0,١٨-٢١,0.8501,"{'٣-٨': 0.0008, '٩-١٢': 0.0041, '١٣-١٨': 0.0101, '١٨-٢١': 0.925, '٢١+': 0.06}",356,{'١٨-٢١': 356}
تهافت التهافت1,٢١+,0.9298,٢١+,1.0,٢١+,0.8598,"{'٣-٨': 0.0063, '٩-١٢': 0.0218, '١٣-١٨': 0.0168, '١٨-٢١': 0.0253, '٢١+': 0.9298}",217,{'٢١+': 217}
تهافت التهافت2,٢١+,0.9298,٢١+,1.0,٢١+,0.8598,"{'٣-٨': 0.0063, '٩-١٢': 0.0218, '١٣-١٨': 0.0168, '١٨-٢١': 0.0253, '٢١+': 0.9298}",217,{'٢١+': 217}
جثة فى المكتبة,١٣-١٨,0.9105,١٣-١٨,0.9717,١٣-١٨,0.8451,"{'٣-٨': 0.0027, '٩-١٢': 0.0455, '١٣-١٨': 0.9105, '١٨-٢١': 0.0333, '٢١+': 0.008}",106,"{'١٣-١٨': 103, '٩-١٢': 3}"
جزيرة الكنز,٩-١٢,0.8907,٩-١٢,1.0,٩-١٢,0.7817,"{'٣-٨': 0.0047, '٩-١٢': 0.8907, '١٣-١٨': 0.0395, '١٨-٢١': 0.0397, '٢١+': 0.0253}",163,{'٩-١٢': 163}
جزيرة_الكنز,٩-١٢,0.9467,٩-١٢,1.0,٩-١٢,0.8936,"{'٣-٨': 0.0013, '٩-١٢': 0.9467, '١٣-١٨': 0.0359, '١٨-٢١': 0.0134, '٢١+': 0.0027}",43,{'٩-١٢': 43}
حكاية التاجر مع العفريت,٩-١٢,0.8833,٩-١٢,1.0,٩-١٢,0.7674,"{'٣-٨': 0.0039, '٩-١٢': 0.8833, '١٣-١٨': 0.0862, '١٨-٢١': 0.0159, '٢١+': 0.0107}",18,{'٩-١٢': 18}
حورية تقول الصدق,٣-٨,0.5773,٩-١٢,1.0,٣-٨,0.9554,"{'٣-٨': 0.5773, '٩-١٢': 0.363, '١٣-١٨': 0.0163, '١٨-٢١': 0.0275, '٢١+': 0.0158}",1,{'٩-١٢': 1}
حول العالم في ثمانين يوماً,٩-١٢,0.8769,٩-١٢,1.0,٩-١٢,0.754,"{'٣-٨': 0.0044, '٩-١٢': 0.8769, '١٣-١٨': 0.0456, '١٨-٢١': 0.0389, '٢١+': 0.0341}",76,{'٩-١٢': 76}
حي_بن_يقظان,١٣-١٨,0.9227,١٣-١٨,1.0,١٣-١٨,0.8457,"{'٣-٨': 0.0015, '٩-١٢': 0.0449, '١٣-١٨': 0.9227, '١٨-٢١': 0.0276, '٢١+': 0.0033}",45,{'١٣-١٨': 45}
خان الخليلي,١٨-٢١,0.9181,١٨-٢١,1.0,١٨-٢١,0.8363,"{'٣-٨': 0.0016, '٩-١٢': 0.0195, '١٣-١٨': 0.0435, '١٨-٢١': 0.9181, '٢١+': 0.0173}",162,{'١٨-٢١': 162}
خبز الفداء,١٣-١٨,0.8548,١٣-١٨,0.8889,١٣-١٨,0.8234,"{'٣-٨': 0.0248, '٩-١٢': 0.0487, '١٣-١٨': 0.8548, '١٨-٢١': 0.0669, '٢١+': 0.0048}",9,"{'١٣-١٨': 8, '١٨-٢١': 1}"
خمسون شمعة لإضاءة دروبكم,١٣-١٨,0.9377,١٣-١٨,1.0,١٣-١٨,0.8756,"{'٣-٨': 0.0023, '٩-١٢': 0.0234, '١٣-١٨': 0.9377, '١٨-٢١': 0.0232, '٢١+': 0.0135}",72,{'١٣-١٨': 72}
دعاء الكروان,١٨-٢١,0.9381,١٨-٢١,1.0,١٨-٢١,0.8764,"{'٣-٨': 0.0013, '٩-١٢': 0.0173, '١٣-١٨': 0.0284, '١٨-٢١': 0.9381, '٢١+': 0.0148}",102,{'١٨-٢١': 102}
رسائل إخوان الصفا وخلان الوفا 4,٢١+,0.9638,٢١+,1.0,٢١+,0.9278,"{'٣-٨': 0.0011, '٩-١٢': 0.0091, '١٣-١٨': 0.0103, '١٨-٢١': 0.0157, '٢١+': 0.9638}",315,{'٢١+': 315}
رسائل إخوان الصفا وخلان الوفا1,٢١+,0.9832,٢١+,1.0,٢١+,0.9665,"{'٣-٨': 0.0006, '٩-١٢': 0.0091, '١٣-١٨': 0.0029, '١٨-٢١': 0.0042, '٢١+': 0.9832}",309,{'٢١+': 309}
رسائل إخوان الصفا وخلان الوفا2,٢١+,0.9849,٢١+,1.0,٢١+,0.9699,"{'٣-٨': 0.0004, '٩-١٢': 0.0041, '١٣-١٨': 0.0045, '١٨-٢١': 0.006, '٢١+': 0.9849}",326,{'٢١+': 326}
رسائل إخوان الصفا وخلان الوفا3,٢١+,0.9891,٢١+,1.0,٢١+,0.9783,"{'٣-٨': 0.0006, '٩-١٢': 0.0045, '١٣-١٨': 0.0028, '١٨-٢١': 0.003, '٢١+': 0.9891}",365,{'٢١+': 365}
رسالة_الغفران,٢١+,0.8872,٢١+,1.0,٢١+,0.7747,"{'٣-٨': 0.0041, '٩-١٢': 0.0231, '١٣-١٨': 0.0425, '١٨-٢١': 0.0431, '٢١+': 0.8872}",111,{'٢١+': 111}
رواية المشكلة الأخيرة,١٣-١٨,0.9101,١٣-١٨,1.0,١٣-١٨,0.8207,"{'٣-٨': 0.0028, '٩-١٢': 0.016, '١٣-١٨': 0.9101, '١٨-٢١': 0.0488, '٢١+': 0.0224}",196,{'١٣-١٨': 196}
رواية ثم لم يبق أحد - رواياتي,١٣-١٨,0.9328,١٣-١٨,0.9813,١٣-١٨,0.8886,"{'٣-٨': 0.0011, '٩-١٢': 0.0383, '١٣-١٨': 0.9328, '١٨-٢١': 0.0235, '٢١+': 0.0042}",107,"{'١٣-١٨': 105, '٩-١٢': 2}"
رواية جريمة فى قطار الشرق - رواياتي,١٣-١٨,0.7886,١٣-١٨,0.8376,١٣-١٨,0.7349,"{'٣-٨': 0.004, '٩-١٢': 0.0694, '١٣-١٨': 0.7886, '١٨-٢١': 0.0908, '٢١+': 0.0472}",117,"{'١٣-١٨': 98, '١٨-٢١': 7, '٩-١٢': 7, '٢١+': 5}"
رواية مقتل روجر أكرويد - رواياتي,١٣-١٨,0.917,١٣-١٨,0.9926,١٣-١٨,0.843,"{'٣-٨': 0.0021, '٩-١٢': 0.026, '١٣-١٨': 0.917, '١٨-٢١': 0.0405, '٢١+': 0.0143}",136,"{'١٣-١٨': 135, '٩-١٢': 1}"
روبنسون كروزو,٩-١٢,0.9717,٩-١٢,1.0,٩-١٢,0.9439,"{'٣-٨': 0.0035, '٩-١٢': 0.9717, '١٣-١٨': 0.0114, '١٨-٢١': 0.0114, '٢١+': 0.002}",37,{'٩-١٢': 37}
زقاق_المدق,١٨-٢١,0.8145,١٨-٢١,1.0,١٨-٢١,0.6292,"{'٣-٨': 0.0038, '٩-١٢': 0.0627, '١٣-١٨': 0.0984, '١٨-٢١': 0.8145, '٢١+': 0.0206}",175,{'١٨-٢١': 175}
شرق المتوسط,١٨-٢١,0.9169,١٨-٢١,1.0,١٨-٢١,0.834,"{'٣-٨': 0.0026, '٩-١٢': 0.0275, '١٣-١٨': 0.038, '١٨-٢١': 0.9169, '٢١+': 0.015}",112,{'١٨-٢١': 112}
شهرزاد بنت الوزير,٩-١٢,0.888,٩-١٢,0.9661,٩-١٢,0.8141,"{'٣-٨': 0.0058, '٩-١٢': 0.888, '١٣-١٨': 0.0249, '١٨-٢١': 0.0692, '٢١+': 0.0121}",59,"{'٩-١٢': 57, '١٨-٢١': 2}"
صاحب الظل الطويل,١٣-١٨,0.9428,١٣-١٨,1.0,١٣-١٨,0.8859,"{'٣-٨': 0.0015, '٩-١٢': 0.0175, '١٣-١٨': 0.9428, '١٨-٢١': 0.0312, '٢١+': 0.007}",90,{'١٣-١٨': 90}
عائلة روبنسون السويسرية_text,٩-١٢,0.9347,٩-١٢,1.0,٩-١٢,0.8698,"{'٣-٨': 0.0191, '٩-١٢': 0.9347, '١٣-١٨': 0.0291, '١٨-٢١': 0.0133, '٢١+': 0.0038}",14,{'٩-١٢': 14}
عبد القاهر الجرجاني-دلائل الإعجاز,٢١+,0.9694,٢١+,0.9798,٢١+,0.9579,"{'٣-٨': 0.0004, '٩-١٢': 0.0067, '١٣-١٨': 0.0027, '١٨-٢١': 0.0208, '٢١+': 0.9694}",446,"{'٢١+': 437, '١٨-٢١': 9}"
عرس الزين,١٨-٢١,0.5068,١٨-٢١,0.9545,٩-١٢,0.5711,"{'٣-٨': 0.0027, '٩-١٢': 0.3081, '١٣-١٨': 0.1791, '١٨-٢١': 0.5068, '٢١+': 0.0034}",44,"{'١٨-٢١': 42, '٩-١٢': 2}"
عقلة الإصبع,٩-١٢,0.9513,٩-١٢,1.0,٩-١٢,0.9043,"{'٣-٨': 0.014, '٩-١٢': 0.9513, '١٣-١٨': 0.0241, '١٨-٢١': 0.0072, '٢١+': 0.0035}",10,{'٩-١٢': 10}
علي بابا و الأربعون لصا,٩-١٢,0.9331,٩-١٢,1.0,٩-١٢,0.8666,"{'٣-٨': 0.014, '٩-١٢': 0.9331, '١٣-١٨': 0.0295, '١٨-٢١': 0.0174, '٢١+': 0.006}",9,{'٩-١٢': 9}
فاتتني صلاة,١٣-١٨,0.9091,١٣-١٨,1.0,١٣-١٨,0.819,"{'٣-٨': 0.0022, '٩-١٢': 0.0518, '١٣-١٨': 0.9091, '١٨-٢١': 0.0319, '٢١+': 0.005}",67,{'١٣-١٨': 67}
فصوص الحكم أبن عربي,٢١+,0.7519,٢١+,0.9538,٢١+,0.5546,"{'٣-٨': 0.0057, '٩-١٢': 0.0687, '١٣-١٨': 0.0634, '١٨-٢١': 0.1103, '٢١+': 0.7519}",173,"{'٢١+': 165, '١٨-٢١': 7, '٩-١٢': 1}"
فضيحة_في_بوهيميا (1),١٣-١٨,0.9719,١٣-١٨,1.0,١٣-١٨,0.9442,"{'٣-٨': 0.0032, '٩-١٢': 0.0168, '١٣-١٨': 0.9719, '١٨-٢١': 0.0064, '٢١+': 0.0016}",18,{'١٣-١٨': 18}
فضيحة_في_بوهيميا,١٣-١٨,0.9719,١٣-١٨,1.0,١٣-١٨,0.9442,"{'٣-٨': 0.0032, '٩-١٢': 0.0168, '١٣-١٨': 0.9719, '١٨-٢١': 0.0064, '٢١+': 0.0016}",18,{'١٣-١٨': 18}
في قلبي أنثى عبرية,١٨-٢١,0.5815,١٨-٢١,0.8548,٢١+,0.4851,"{'٣-٨': 0.0043, '٩-١٢': 0.1402, '١٣-١٨': 0.0294, '١٨-٢١': 0.5815, '٢١+': 0.2446}",241,"{'١٨-٢١': 206, '٩-١٢': 33, '١٣-١٨': 1, '٢١+': 1}"
في_سبيل_التاج,١٨-٢١,0.5535,١٨-٢١,0.8868,١٣-١٨,0.5802,"{'٣-٨': 0.0043, '٩-١٢': 0.0867, '١٣-١٨': 0.3228, '١٨-٢١': 0.5535, '٢١+': 0.0327}",53,"{'١٨-٢١': 47, '٢١+': 1, '٩-١٢': 2, '١٣-١٨': 3}"
قصة الثور والضفدع المغور,٣-٨,0.5452,١٨-٢١,1.0,٣-٨,0.9544,"{'٣-٨': 0.5452, '٩-١٢': 0.0227, '١٣-١٨': 0.1996, '١٨-٢١': 0.2132, '٢١+': 0.0193}",1,{'١٨-٢١': 1}
قصة حب مجوسية2  ,١٨-٢١,0.937,١٨-٢١,1.0,١٨-٢١,0.8741,"{'٣-٨': 0.0029, '٩-١٢': 0.0149, '١٣-١٨': 0.0354, '١٨-٢١': 0.937, '٢١+': 0.0097}",66,{'١٨-٢١': 66}
قصر الشوق,١٨-٢١,0.9613,١٨-٢١,1.0,١٨-٢١,0.9227,"{'٣-٨': 0.0005, '٩-١٢': 0.0067, '١٣-١٨': 0.0034, '١٨-٢١': 0.9613, '٢١+': 0.0281}",319,{'١٨-٢١': 319}
قصص النبيين للأطفال,٩-١٢,0.9405,٩-١٢,0.9737,٩-١٢,0.9074,"{'٣-٨': 0.0012, '٩-١٢': 0.9405, '١٣-١٨': 0.0142, '١٨-٢١': 0.037, '٢١+': 0.0071}",76,"{'٩-١٢': 74, '١٨-٢١': 2}"
كامل كيلاني-السندباد البحري,٩-١٢,0.8979,٩-١٢,1.0,٩-١٢,0.8196,"{'٣-٨': 0.0225, '٩-١٢': 0.8979, '١٣-١٨': 0.0434, '١٨-٢١': 0.027, '٢١+': 0.0092}",24,{'٩-١٢': 24}
كان ما كان ميخائيل نعيمة,١٨-٢١,0.8664,١٨-٢١,0.9831,١٨-٢١,0.7421,"{'٣-٨': 0.0035, '٩-١٢': 0.0829, '١٣-١٨': 0.0384, '١٨-٢١': 0.8664, '٢١+': 0.0087}",59,"{'١٨-٢١': 58, '٩-١٢': 1}"
كتاب البخلاء للجاحظ,١٨-٢١,0.5046,١٨-٢١,0.8733,٢١+,0.8515,"{'٣-٨': 0.0009, '٩-١٢': 0.007, '١٣-١٨': 0.004, '١٨-٢١': 0.5046, '٢١+': 0.4834}",505,"{'٢١+': 58, '١٨-٢١': 441, '١٣-١٨': 4, '٩-١٢': 2}"
كنز الثعالب,٣-٨,0.5121,٩-١٢,1.0,٣-٨,0.9704,"{'٣-٨': 0.5121, '٩-١٢': 0.4688, '١٣-١٨': 0.0061, '١٨-٢١': 0.0071, '٢١+': 0.006}",1,{'٩-١٢': 1}
ماجدولين,١٣-١٨,0.9085,١٣-١٨,1.0,١٣-١٨,0.8172,"{'٣-٨': 0.0028, '٩-١٢': 0.0184, '١٣-١٨': 0.9085, '١٨-٢١': 0.0389, '٢١+': 0.0313}",137,{'١٣-١٨': 137}
مجوسية,١٨-٢١,0.937,١٨-٢١,1.0,١٨-٢١,0.8741,"{'٣-٨': 0.0029, '٩-١٢': 0.0149, '١٣-١٨': 0.0354, '١٨-٢١': 0.937, '٢١+': 0.0097}",66,{'١٨-٢١': 66}
مدن الملح,١٨-٢١,0.8819,١٨-٢١,1.0,١٨-٢١,0.7639,"{'٣-٨': 0.0016, '٩-١٢': 0.0127, '١٣-١٨': 0.0121, '١٨-٢١': 0.8819, '٢١+': 0.0917}",362,{'١٨-٢١': 362}
مغامرات أنا بينوكيو,٢١+,0.4666,٢١+,0.8829,٩-١٢,0.4932,"{'٣-٨': 0.0055, '٩-١٢': 0.2998, '١٣-١٨': 0.057, '١٨-٢١': 0.1712, '٢١+': 0.4666}",205,"{'٩-١٢': 22, '٢١+': 181, '١٨-٢١': 2}"
مغامرات توم سوير,٩-١٢,0.9384,٩-١٢,1.0,٩-١٢,0.8771,"{'٣-٨': 0.0012, '٩-١٢': 0.9384, '١٣-١٨': 0.0406, '١٨-٢١': 0.0172, '٢١+': 0.0026}",48,{'٩-١٢': 48}
مغامرات في أعماق البحار,٩-١٢,0.7666,٩-١٢,0.7778,٩-١٢,0.798,"{'٣-٨': 0.0152, '٩-١٢': 0.7666, '١٣-١٨': 0.0746, '١٨-٢١': 0.1311, '٢١+': 0.0125}",27,"{'٩-١٢': 21, '١٨-٢١': 5, '١٣-١٨': 1}"
مغامرة الجوهرة الزرقاء,١٣-١٨,0.9145,١٣-١٨,1.0,١٣-١٨,0.8297,"{'٣-٨': 0.0031, '٩-١٢': 0.0661, '١٣-١٨': 0.9145, '١٨-٢١': 0.0128, '٢١+': 0.0034}",20,{'١٣-١٨': 20}
مغامرة العصابة الرقطاء,١٣-١٨,0.6142,١٣-١٨,0.8571,٩-١٢,0.5473,"{'٣-٨': 0.0046, '٩-١٢': 0.2978, '١٣-١٨': 0.6142, '١٨-٢١': 0.0759, '٢١+': 0.0076}",21,"{'١٣-١٨': 18, '١٨-٢١': 2, '٩-١٢': 1}"
مغامرة_الجوهرة_الزرقاء,١٣-١٨,0.928,١٣-١٨,1.0,١٣-١٨,0.8754,"{'٣-٨': 0.0062, '٩-١٢': 0.0538, '١٣-١٨': 0.928, '١٨-٢١': 0.0091, '٢١+': 0.0029}",17,{'١٣-١٨': 17}
مغامرة_تاج_الزمرد,١٣-١٨,0.9379,١٣-١٨,1.0,١٣-١٨,0.8775,"{'٣-٨': 0.0039, '٩-١٢': 0.036, '١٣-١٨': 0.9379, '١٨-٢١': 0.0201, '٢١+': 0.0021}",21,{'١٣-١٨': 21}
من الفناء إلى البقاء,٢١+,0.9574,٢١+,0.9988,٢١+,0.9159,"{'٣-٨': 0.0007, '٩-١٢': 0.0074, '١٣-١٨': 0.0027, '١٨-٢١': 0.0318, '٢١+': 0.9574}",830,"{'٢١+': 829, '٩-١٢': 1}"
موسم الهجرة إلى الشمال,١٨-٢١,0.931,١٨-٢١,1.0,١٨-٢١,0.8621,"{'٣-٨': 0.0014, '٩-١٢': 0.019, '١٣-١٨': 0.0393, '١٨-٢١': 0.931, '٢١+': 0.0093}",84,{'١٨-٢١': 84}
نظرية الفستق,١٣-١٨,0.9388,١٣-١٨,1.0,١٣-١٨,0.8777,"{'٣-٨': 0.0023, '٩-١٢': 0.0203, '١٣-١٨': 0.9388, '١٨-٢١': 0.0257, '٢١+': 0.0129}",103,{'١٣-١٨': 103}
هايدي سنوات التعلم والترحال - جوهانا سبيري,٩-١٢,0.9148,٩-١٢,1.0,٩-١٢,0.8298,"{'٣-٨': 0.0016, '٩-١٢': 0.9148, '١٣-١٨': 0.0403, '١٨-٢١': 0.0332, '٢١+': 0.0102}",125,{'٩-١٢': 125}
هكذا تكلم زرادشت – فريدريك نيتشه,٢١+,0.9411,٢١+,0.9968,٢١+,0.8855,"{'٣-٨': 0.0011, '٩-١٢': 0.0079, '١٣-١٨': 0.0031, '١٨-٢١': 0.0467, '٢١+': 0.9411}",311,"{'٢١+': 310, '٩-١٢': 1}"
